id,name,Internal Reference,active,sale_ok,purchase_ok,list_price,standard_price,type,barcode,Brand,Model,Color,Size,categ_id,Image 1,Image 2
E-ADD-999-406060-4517,Adidas 999 406060,E-ADD-999-406060-4517,1,1,1,40,60,Stockable,E-ADD-999-406060-4517,Adidas,999,406060,45-17,E,e-add-999-406060_00.jpg,e-add-999-406060_01.jpg
E-ADD-A660-406053-5119,Adidas A660 406053,E-ADD-A660-406053-5119,1,1,1,40,60,Stockable,E-ADD-A660-406053-5119,Adidas,A660,406053,51-19,E,e-add-a660-406053_00.jpg,e-add-a660-406053_01.jpg
E-ADD-A660-406053-5319,Adidas A660 406053,E-ADD-A660-406053-5319,1,1,1,40,60,Stockable,E-ADD-A660-406053-5319,Adidas,A660,406053,53-19,E,e-add-a660-406053_00.jpg,e-add-a660-406053_01.jpg
E-ADD-A677-406056-5019,Adidas A677 406056,E-ADD-A677-406056-5019,1,1,1,40,60,Stockable,E-ADD-A677-406056-5019,Adidas,A677,406056,50-19,E,e-add-a677-406056_00.jpg,e-add-a677-406056_01.jpg
E-ADD-A792-406065-5218,Adidas A792 406065,E-ADD-A792-406065-5218,1,1,1,40,60,Stockable,E-ADD-A792-406065-5218,Adidas,A792,406065,52-18,E,e-add-a792-406065_00.jpg,e-add-a792-406065_01.jpg
E-ADD-AH53-206051-5315,Adidas AH53 206051 ,E-ADD-AH53-206051-5315,1,1,1,40,60,Stockable,E-ADD-AH53-206051-5315,Adidas,AH53,206051,53-15,E,e-add-ah53-206051_00.jpg,e-add-ah53-206051_01.jpg
E-ADD-F08-406050-5518,Adidas F08 406050 ,E-ADD-F08-406050-5518,1,1,1,40,60,Stockable,E-ADD-F08-406050-5518,Adidas,F08,406050,55-18,E,e-add-f08-406050_00.jpg,e-add-f08-406050_01.jpg
E-ADD-F08-406051-5718,Adidas F08 406051,E-ADD-F08-406051-5718,1,1,1,40,60,Stockable,E-ADD-F08-406051-5718,Adidas,F08,406051,57-18,E,e-add-f08-406051_00.jpg,e-add-f08-406051_01.jpg
E-ADD-F08-406052-5518,Adidas F08 406052 ,E-ADD-F08-406052-5518,1,1,1,40,60,Stockable,E-ADD-F08-406052-5518,Adidas,F08,406052,55-18,E,e-add-f08-406052_00.jpg,e-add-f08-406052_01.jpg
E-ADD-F08-506054-5718,Adidas F08 506054,E-ADD-F08-506054-5718,1,1,1,40,60,Stockable,E-ADD-F08-506054-5718,Adidas,F08,506054,57-18,E,e-add-f08-506054_00.jpg,e-add-f08-506054_01.jpg
E-ADD-F10-406055-5219,Adidas F10 406055,E-ADD-F10-406055-5219,1,1,1,40,60,Stockable,E-ADD-F10-406055-5219,Adidas,F10,406055,52-19,E,e-add-f10-406055_00.jpg,e-add-f10-406055_01.jpg
